time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_4,branch_current_branch_fixed_6,branch_current_branch_fixed_7,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,separate_field_current_A
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0
2e-05,6.92601075561,10,1,9.75167380543e-14,4.87583690272e-14,9.99999097518e-13,10,6.92601075561,1,9.75167380543e-14,1.0720837517e-13,9.55664032932e-07,9.02482359463e-07,-5.31817806772e-08,0,0,0,0,-0.00279453567672,-0.000403533337907
4e-05,6.53961891923,10,1,3.13055122253e-13,1.56527561126e-13,9.99999313056e-13,10,6.53961891923,1,3.13055122253e-13,3.44167900454e-13,1.15661213221e-06,6.86944190803e-07,-4.69668285579e-07,0,0,0,0,-0.00822677494019,-0.00121056418911
6e-05,6.17491177265,10,1,6.01402848475e-13,3.00701424238e-13,9.99999601403e-13,10,6.17491177265,1,6.01402848475e-13,6.61172876512e-13,1.66919558477e-06,3.98596752928e-07,-1.27059949301e-06,0,0,0,0,-0.0133541515948,-0.00201752339426
8e-05,5.83067234973,10,1,1.01725361394e-12,5.08626806972e-13,1.00000001725e-12,10,5.83067234973,1,1.01725361394e-12,1.11835269783e-12,2.40614191682e-06,-1.72535966896e-08,-2.42339663186e-06,0,0,0,0,-0.01819377483,-0.00282441095972
0.0001,5.50575198171,10,1,1.59936600383e-12,7.99683001915e-13,1.00000059937e-12,10,5.50575198171,1,1.59936600383e-12,1.75831794616e-12,3.29855950407e-06,-5.99365404464e-07,-3.89792666685e-06,0,0,0,0,-0.0227617936505,-0.00363122689186
0.00012,5.19906646423,10,1,2.3739514303e-12,1.18697571515e-12,1.00000137395e-12,10,5.19906646423,1,2.3739514303e-12,2.60988503771e-12,4.29237767539e-06,-1.37395005635e-06,-5.66633034163e-06,0,0,0,0,-0.0270734507632,-0.00443797119703
0.00014,4.90959243955,10,1,3.35740390568e-12,1.67870195284e-12,1.0000023574e-12,10,4.90959243955,1,3.35740390568e-12,3.69107729296e-12,5.34545658325e-06,-2.35740154827e-06,-7.7028618226e-06,0,0,0,0,-0.0311431334391,-0.00524464388159
0.00016,4.63636398177,10,1,4.55849561005e-12,2.27924780502e-12,1.00000355849e-12,10,4.63636398177,1,4.55849561005e-12,5.01153870938e-12,6.42524211961e-06,-3.55849205156e-06,-9.9837391827e-06,0,0,0,0,-0.0349844215217,-0.0060512449519
0.00018,4.37846937369,10,1,5.98013912197e-12,2.99006956098e-12,1.00000498013e-12,10,4.37846937369,1,5.98013912197e-12,6.57447133022e-12,7.50686429717e-06,-4.98013414183e-06,-1.24870050135e-05,0,0,0,0,-0.0386101327401,-0.00685777441432
0.0002,4.1350480646,10,1,7.62079837355e-12,3.81039918677e-12,1.00000662079e-12,10,4.1350480646,1,7.62079837355e-12,8.3781864265e-12,8.57159636832e-06,-6.62079175276e-06,-1.51923964993e-05,0,0,0,0,-0.0420323654798,-0.0076642322752
0.00022,3.90528779873,10,1,9.47561507572e-12,4.73780753786e-12,1.00000847561e-12,10,3.90528779873,1,9.47561507572e-12,1.04173428713e-11,9.60560731297e-06,-8.47560660011e-06,-1.80812243304e-05,0,0,0,0,-0.0452625391532,-0.0084706185409
0.00024,3.68842190489,10,1,1.15373048871e-11,5.76865244356e-12,1.00001053729e-12,10,3.68842190489,1,1.15373048871e-11,1.26839323737e-11,1.05989528387e-05,-1.05372943498e-05,-2.11362598725e-05,0,0,0,0,-0.0483114323039,-0.00927693321778
0.00026,3.48372673826,10,1,1.37968674451e-11,6.89843372255e-12,1.00001279685e-12,10,3.48372673826,1,1.37968674451e-11,1.5168060076e-11,1.15447602296e-05,-1.27968546483e-05,-2.43416300459e-05,0,0,0,0,-0.051189218573,-0.0100831763122
