time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_3,branch_current_branch_fixed_5,branch_current_branch_fixed_6,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,compound_field_current_A,series_field_current_A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,-0
2e-05,8.4177004059,10,9.09137984152e-14,4.54568992076e-14,9.99999090915e-13,10,8.4177004059,9.09137984152e-14,9.9949206701e-14,8.90955224469e-07,9.09085292499e-07,1.81299680811e-08,0,0,0,0,-0.00143845417646,-0.000511796062632,0.000926658113826
4e-05,9.0043669668,10,2.58756470435e-13,1.29378235218e-13,9.99999258757e-13,10,9.0043669668,2.58756470435e-13,2.84472812704e-13,7.53902961328e-07,7.41242788322e-07,-1.26604574792e-08,0,0,0,0,-0.00352049216919,-0.00184012678815,0.00168036538104
6e-05,9.57721426326,10,3.97962772844e-13,1.98981386422e-13,9.99999397963e-13,10,9.57721426326,3.97962772844e-13,4.37514042265e-13,6.10318802275e-07,6.02036625119e-07,-8.28261466972e-09,0,0,0,0,-0.00416987429291,-0.00212794249107,0.00204193180185
8e-05,9.29920129624,10,5.13638310114e-13,2.56819155057e-13,9.99999513639e-13,10,9.29920129624,5.13638310114e-13,5.64685917012e-13,5.23301462977e-07,4.86361203524e-07,-3.69408241383e-08,0,0,0,0,-0.00443315573102,-0.00241018097323,0.00202297475779
0.0001,9.78419850064,10,6.07937594051e-13,3.03968797026e-13,9.99999607938e-13,10,9.78419850064,6.07937594051e-13,6.68357073495e-13,4.00831519605e-07,3.92062013887e-07,-8.77017407518e-09,0,0,0,0,-0.00446040032822,-0.00227270292783,0.00218769740039
0.00012,9.23257165863,10,6.85619415107e-13,3.42809707554e-13,9.9999968562e-13,10,9.23257165863,6.85619415107e-13,7.53759251437e-13,3.60450326742e-07,3.14380270513e-07,-4.60708099884e-08,0,0,0,0,-0.00454326376012,-0.00251211231555,0.00203115144457
0.00014,9.92888476069,10,7.48102671306e-13,3.74051335653e-13,9.99999748103e-13,10,9.92888476069,7.48102671306e-13,8.22452365112e-13,2.51885584005e-07,2.51897076797e-07,1.06703398821e-11,0,0,0,0,-0.00447952814981,-0.00223971356664,0.00223981458316
0.00016,9.07466548434,10,7.99922444622e-13,3.99961222311e-13,9.99999799923e-13,10,9.07466548434,7.99922444622e-13,8.79422212646e-13,2.55948194498e-07,2.000773553e-07,-5.58717186198e-08,0,0,0,0,-0.00457093189982,-0.00258352429929,0.00198740760053
0.00018,10.1305975234,10,8.40751839708e-13,4.20375919854e-13,9.99999840752e-13,10,10.1305975234,8.40751839708e-13,9.24309410409e-13,1.4417987734e-07,1.59248001044e-07,1.50671993949e-08,0,0,0,0,-0.00446234154733,-0.00216173451682,0.0023006070305
0.0002,8.82798207966,10,8.75271923491e-13,4.37635961746e-13,9.99999875272e-13,10,8.82798207966,8.75271923491e-13,9.62260250101e-13,1.94116943739e-07,1.24727951781e-07,-6.93899542191e-08,0,0,0,0,-0.0045977525359,-0.00268312064456,0.00191463189134
0.00022,10.4357891244,10,9.01127071583e-13,4.50563535792e-13,9.99999901127e-13,10,10.4357891244,9.01127071583e-13,9.90684995144e-13,5.92635075587e-08,9.88728295441e-08,3.96083313003e-08,0,0,0,0,-0.00443109643482,-0.00203992872541,0.0023911677094
0.00024,8.45157752122,10,9.23884558687e-13,4.61942279344e-13,9.99999923885e-13,10,8.45157752122,9.23884558687e-13,1.01570422019e-12,1.63759866062e-07,7.61153651974e-08,-8.76455165687e-08,0,0,0,0,-0.00463692740524,-0.0028338145646,0.00180311284065
0.00026,10.9004101329,10,9.38643371703e-13,4.69321685851e-13,9.99999938643e-13,10,10.9004101329,9.38643371703e-13,1.03192982817e-12,-1.91234985078e-08,6.13565669405e-08,8.04790335184e-08,0,0,0,0,-0.00438295182781,-0.00185407155319,0.00252888027462
0.00028,7.87819313509,10,9.52752221617e-13,4.76376110809e-13,9.99999952752e-13,10,7.87819313509,9.52752221617e-13,1.04744087689e-12,1.57390227669e-07,4.72477311349e-08,-1.10143543975e-07,0,0,0,0,-0.00469641216093,-0.00306323016459,0.00163318199634
0.0003,11.6080607084,10,9.5773654564e-13,4.7886827282e-13,9.99999957737e-13,10,11.6080607084,9.5773654564e-13,1.05292056469e-12,-1.08543852251e-07,4.2263412097e-08,1.50806211428e-07,0,0,0,0,-0.00430956100119,-0.0015709518733,0.00273860912789
0.00032,7.00485001729,10,9.63831851209e-13,4.81915925604e-13,9.99999963832e-13,10,7.00485001729,9.63831851209e-13,1.05962164821e-12,1.68277846831e-07,3.61681126229e-08,-1.3211079383e-07,0,0,0,0,-0.00478699470487,-0.00341264636379,0.00137434834107
0.00034,12.6858970101,10,9.57145581628e-13,4.78572790814e-13,9.99999957146e-13,10,12.6858970101,9.57145581628e-13,1.0522708681e-12,-2.33803288722e-07,4.28543755174e-08,2.76656611968e-07,0,0,0,0,-0.00419777109724,-0.00113972176046,0.00305804933679
0.00036,5.67464000988,10,9.52153576303e-13,4.76076788151e-13,9.99999952154e-13,10,5.67464000988,9.52153576303e-13,1.0467827356e-12,1.84881636533e-07,4.78463758508e-08,-1.37036307465e-07,0,0,0,0,-0.00492496087956,-0.00394484895245,0.000980111927105
0.00038,14.3275741435,10,9.26313305812e-13,4.63156652906e-13,9.99999926313e-13,10,14.3275741435,9.26313305812e-13,1.01837434676e-12,-4.38116287342e-07,7.36866205013e-08,5.11801889469e-07,0,0,0,0,-0.0040275005802,-0.000482904756731,0.00354459582346
0.0004,3.64856625289,10,8.99823808761e-13,4.4991190438e-13,9.99999899824e-13,10,3.64856625289,8.99823808761e-13,9.892522084e-13,1.78519216237e-07,1.00176091063e-07,-7.83441144257e-08,0,0,0,0,-0.00513510011435,-0.00475545889337,0.000379641220973
0.00042,16.8280505626,10,8.35741871643e-13,4.17870935821e-13,9.99999835742e-13,10,16.8280505626,8.35741871643e-13,9.18801529951e-13,-8.06522199989e-07,1.64257964099e-07,9.70779245286e-07,0,0,0,0,-0.00376815753402,0.000517508476292,0.00428566601031
0.00044,0.562606393966,10,7.61030667205e-13,3.80515333603e-13,9.99999761031e-13,10,0.562606393966,7.61030667205e-13,8.36665201413e-13,7.43523964998e-08,2.38969093826e-07,1.64615860661e-07,0,0,0,0,-0.00545516802186,-0.00599011764646,-0.000534949624597
