id,index,kind,source
src_650,1,source,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
inj_675,2,current,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
line_650_632,3,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
line_650_632_l,4,series_rl,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
line_632_633,5,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
xfmr_633_634,6,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
line_632_645,7,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
line_645_646,8,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
line_632_671,9,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
line_671_684,10,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
line_684_611,11,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
line_684_652,12,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
line_692_675,13,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
line_671_680,14,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
cap_675,15,capacitor,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
load_634,16,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
load_646,17,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
load_611,18,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
load_652,19,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
load_675,20,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
load_680,21,conductance,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
sw_671_692,22,switch,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
sw_632_645,23,time_switch,examples/emt/generated_ieee13_deck/ieee13_minimum_core.deck
