step,time_s,control,load_v_pu,valve_closed,tacs_switch_closed,sat_inductor_current_pu
1,0.000000000,0.090909091,-0.246541502,true,false,0.246541502
2,0.000020000,0.256198347,-0.240694668,true,false,0.240694668
3,0.000040000,0.391435011,-0.234986494,true,false,0.234986494
4,0.000060000,0.502083191,0.999999996,true,true,0.241683289
5,0.000080000,0.592613520,0.999999996,true,true,0.260678566
6,0.000100000,0.666683789,0.999999996,true,true,0.279598012
7,0.000120000,0.727286736,0.999999996,true,true,0.298441932
8,0.000140000,0.776870966,0.999999996,true,true,0.317210627
9,0.000160000,0.817439881,0.999999996,true,true,0.335904397
10,0.000180000,0.850632630,0.999999996,true,true,0.354523541
