time_s,node_1_voltage_v,node_2_voltage_v,node_3_voltage_v,node_4_voltage_v,node_5_voltage_v,node_6_voltage_v,node_7_voltage_v,node_8_voltage_v
0,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
1e-05,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
2e-05,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
3e-05,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
4e-05,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
5e-05,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
6e-05,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
7e-05,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
8e-05,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
9e-05,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.0001,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00011,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00012,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00013,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00014,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00015,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00016,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00017,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00018,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00019,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.0002,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00021,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00022,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00023,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00024,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00025,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00026,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00027,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00028,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00029,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.0003,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00031,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00032,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00033,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00034,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00035,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00036,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00037,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00038,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00039,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.0004,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00041,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00042,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00043,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00044,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00045,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
0.00046,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3
