time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSFQ_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,output_fixed_5,branch_current_branch_fixed_5,branch_current_branch_fixed_7,branch_current_branch_fixed_8,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,single_phase_stator_current_A,d_axis_rotor_current_A,q_axis_rotor_current_A
0,-0.129507986985,-1.74860850535e-15,-9.78147736686e-10,3.09017588577e-10,184.725648031,92.3628240155,184.725657267,-0.123330855279,-9.78147736685e-10,3.09017588577e-10,184.725648031,-1.74860850535e-15,-0.129507986985,-9.78147736686e-10,3.09017588577e-10,184.725648031,9.23628240155,0,9.23628059013,-1.97118463966e-07,184.725648031,0.785398163397,0,-0.000904920422656,-0.00682722947966,-0.00013595171832,0.000594202283105
2e-06,86.9902097311,-0.000753982165365,310.899006357,1.37433936687,184.725648031,92.3628240155,184.725657267,97.347211676,-9.78144154489e-10,3.0900265412e-10,184.725648031,-0.000753982165365,86.9902097311,310.899006357,1.37433936687,184.725648031,9.23628240155,0,9.23628059013,2.19898925234e-08,184.725648031,0.785767614694,0,-0.00147465261335,0.00682614171858,0.000310899006357,1.37433936687e-06
4e-06,-223.548039446,-0.00150796390211,-610.049739544,-1.133959383,184.725648031,92.3628240155,184.725657267,-250.291670632,-9.7814193987e-10,3.08988309912e-10,184.725648031,-0.00150796390211,-223.548039446,-610.049739544,-1.133959383,184.725648031,9.23628240155,0,9.23628059013,-4.16979976179e-08,184.725648031,0.78613706599,0,-0.00145195915512,-0.00682938264902,-0.000610049739544,-1.133959383e-06
6e-06,360.076889882,-0.00226194478168,894.733078881,0.685735371998,184.725648031,92.3628240155,184.725657267,403.204500894,-9.78137299296e-10,3.08973969961e-10,184.725648031,-0.00226194478168,360.076889882,894.733078881,0.685735371998,184.725648031,9.23628240155,0,9.23628059013,6.26342767007e-08,184.725648031,0.786506517286,0,-0.00149427676003,0.00682393387315,0.000894733078881,6.85735371998e-07
8e-06,-496.637163714,-0.00301592437533,-1165.64868999,-0.0198471109941,184.725648031,92.3628240155,184.725657267,-556.151283567,-9.78136223666e-10,3.08959627415e-10,184.725648031,-0.00301592437533,-496.637163714,-1165.64868999,-0.0198471109941,184.725648031,9.23628240155,0,9.23628059013,-7.97936121084e-08,184.725648031,0.786875968582,0,-0.00143146341812,-0.00683149016029,-0.00116564868999,-1.98471109941e-08
1e-05,633.161097383,-0.00376990225449,1423.46240159,-0.852253812584,184.725648031,92.3628240155,184.725657267,709.059021299,-9.78130498319e-10,3.08945284672e-10,184.725648031,-0.00376990225449,633.161097383,1423.46240159,-0.852253812584,184.725648031,9.23628240155,0,9.23628059013,9.97169909955e-08,184.725648031,0.787245419878,0,-0.00151472100182,0.00682167989197,0.00142346240159,-8.52253812584e-07
1.2e-05,-769.72286227,-0.00452387799042,-1668.80784187,1.93956408841,184.725648031,92.3628240155,184.725657267,-862.007060295,-9.78130454132e-10,3.08930945483e-10,184.725648031,-0.00452387799042,-769.72286227,-1668.80784187,1.93956408841,184.725648031,9.23628240155,0,9.23628059013,-1.13990288834e-07,184.725648031,0.787614871174,0,-0.00141018044625,-0.00683354853228,-0.00166880784187,1.93956408841e-06
1.4e-05,906.240889755,-0.0052778511546,1902.2879958,-3.23172519934,184.725648031,92.3628240155,184.725657267,1014.90859735,-9.78123746355e-10,3.08916598261e-10,184.725648031,-0.0052778511546,906.240889755,1902.2879958,-3.23172519934,184.725648031,9.23628240155,0,9.23628059013,1.33589766105e-07,184.725648031,0.78798432247,0,-0.00153598836357,0.00681937611336,0.0019022879958,-3.23172519934e-06
1.6e-05,-1042.80312233,-0.00603182131846,-2124.47668703,4.73639791741,184.725648031,92.3628240155,184.725657267,-1167.85674654,-9.78124636218e-10,3.08902264108e-10,184.725648031,-0.00603182131846,-1042.80312233,-2124.47668703,4.73639791741,184.725648031,9.23628240155,0,9.23628059013,-1.44647953843e-07,184.725648031,0.788353773766,0,-0.00138812892336,-0.00683555439379,-0.00212447668703,4.73639791741e-06
1.8e-05,1179.31418367,-0.00678578805321,2335.91998823,-6.44482875523,184.725648031,92.3628240155,184.725657267,1320.75089578,-9.78117038695e-10,3.08887910735e-10,184.725648031,-0.00678578805321,1179.31418367,2335.91998823,-6.44482875523,184.725648031,9.23628240155,0,9.23628059013,1.6456849799e-07,184.725648031,0.788723225062,0,-0.00155808189686,0.0068170188571,0.00233591998823,-6.44482875523e-06
2e-05,-1315.87579118,-0.00753975093029,-2537.13756315,8.36283040857,184.725648031,92.3628240155,184.725657267,-1473.6979313,-9.78118774406e-10,3.08873583281e-10,184.725648031,-0.00753975093029,-1315.87579118,-2537.13756315,8.36283040857,184.725648031,9.23628240155,0,9.23628059013,-1.72096528387e-07,184.725648031,0.789092676358,0,-0.00136532749634,-0.0068375044833,-0.00253713756315,8.36283040857e-06
2.2e-05,1452.37875679,-0.00829370952112,2728.62394379,-10.483766204,184.725648031,92.3628240155,184.725657267,1626.58342759,-9.78110371074e-10,3.08859222102e-10,184.725648031,-0.00829370952112,1452.37875679,2728.62394379,-10.483766204,184.725648031,9.23628240155,0,9.23628059013,1.92937059281e-07,184.725648031,0.789462127654,0,-0.00158100468083,0.00681460442425,0.00272862394379,-1.0483766204e-05
2.4e-05,-1588.93857801,-0.00904766339716,-2910.84974579,12.8110887128,184.725648031,92.3628240155,184.725657267,-1779.52804891,-9.78112872756e-10,3.08844902995e-10,184.725648031,-0.00904766339716,-1588.93857801,-2910.84974579,12.8110887128,184.725648031,9.23628240155,0,9.23628059013,-1.96638160333e-07,184.725648031,0.78983157895,0,-0.00134179477868,-0.0068393956487,-0.00291084974579,1.28110887128e-05
2.6e-05,1725.43224954,-0.00980161212962,3084.26282513,-15.340789821,184.725648031,92.3628240155,184.725657267,1932.40355013,-9.78103739628e-10,3.08830532371e-10,184.725648031,-0.00980161212962,1725.43224954,3084.26282513,-15.340789821,184.725648031,9.23628240155,0,9.23628059013,2.1895069696e-07,184.725648031,0.790201030246,0,-0.00160475982386,0.00681212909677,0.00308426282513,-1.5340789821e-05
2.8e-05,-1861.98905572,-0.0105555552899,-3249.28937875,18.0734498815,184.725648031,92.3628240155,184.725657267,-2085.34438104,-9.78106934944e-10,3.08816223242e-10,184.725648031,-0.0105555552899,-1861.98905572,-3249.28937875,18.0734498815,184.725648031,9.23628240155,0,9.23628059013,-2.18549329726e-07,184.725648031,0.790570481542,0,-0.00131754935496,-0.00684122484705,-0.00324928937875,1.80734498815e-05
3e-05,1998.47216694,-0.0113094924496,3406.33499206,-21.0082012234,184.725648031,92.3628240155,184.725657267,2238.20846904,-9.78097140859e-10,3.08801841547e-10,184.725648031,-0.0113094924496,1998.47216694,3406.33499206,-21.0082012234,184.725648031,9.23628240155,0,9.23628059013,2.42839061829e-07,184.725648031,0.790939932838,0,-0.00162935046618,0.0068095891373,0.00340633499206,-2.10082012234e-05
3.2e-05,-2135.02466268,-0.0120634231799,-3555.78563571,24.1422396456,184.725648031,92.3628240155,184.725657267,-2391.14405872,-9.78100964299e-10,3.08787544015e-10,184.725648031,-0.0120634231799,-2135.02466268,-3555.78563571,24.1422396456,184.725648031,9.23628240155,0,9.23628059013,-2.38082829515e-07,184.725648031,0.791309384134,0,-0.00129260978612,-0.00684298914436,-0.00355578563571,2.41422396456e-05
3.4e-05,2271.4958804,-0.0128173470524,3698.00861424,-27.4783501593,184.725648031,92.3628240155,184.725657267,2543.99524036,-9.78090571599e-10,3.08773149641e-10,184.725648031,-0.0128173470524,2271.4958804,3698.00861424,-27.4783501593,184.725648031,9.23628240155,0,9.23628059013,2.64808910265e-07,184.725648031,0.791678835431,0,-0.0016547797833,0.0068069807888,0.00369800861424,-2.74783501593e-05
3.6e-05,-2408.04270455,-0.0135712636381,-3833.35346874,31.0098311954,184.725648031,92.3628240155,184.725657267,-2696.92406431,-9.78094963835e-10,3.08758865305e-10,184.725648031,-0.0135712636381,-2408.04270455,-3833.35346874,31.0098311954,184.725648031,9.23628240155,0,9.23628059013,-2.55469623671e-07,184.725648031,0.792048286727,0,-0.00126699461554,-0.0068446857155,-0.00383335346874,3.10098311954e-05
3.8e-05,2544.50062946,-0.0143251725089,3962.15283597,-34.7436332989,184.725648031,92.3628240155,184.725657267,2849.76077242,-9.78084028979e-10,3.08744456658e-10,184.725648031,-0.0143251725089,2544.50062946,3962.15283597,-34.7436332989,184.725648031,9.23628240155,0,9.23628059013,2.85046514259e-07,184.725648031,0.792417738023,0,-0.0016810509904,0.00680430027416,0.00396215283597,-3.47436332989e-05
4e-05,-2681.04035605,-0.015079073236,-4084.72326586,38.6686439622,184.725648031,92.3628240155,184.725657267,-3002.68123354,-9.78088936284e-10,3.08730187106e-10,184.725648031,-0.015079073236,-2681.04035605,-4084.72326586,38.6686439622,184.725648031,9.23628240155,0,9.23628059013,-2.70920585908e-07,184.725648031,0.792787189319,0,-0.00124072237605,-0.00684631184409,-0.00408472326586,3.86686439622e-05
4.2e-05,2817.4835236,-0.0158329653908,4201.36599948,-42.7964930283,184.725648031,92.3628240155,184.725657267,3155.50182787,-9.780775104e-10,3.08715762607e-10,184.725648031,-0.0158329653908,2817.4835236,4201.36599948,-42.7964930283,184.725648031,9.23628240155,0,9.23628059013,3.03719811759e-07,184.725648031,0.793156640615,0,-0.00170816734757,0.0068015437958,0.00420136599948,-4.27964930283e-05
4.4e-05,-2954.01466271,-0.0165868485446,-4312.36770943,47.1111424063,184.725648031,92.3628240155,184.725657267,-3308.41225744,-9.78082884118e-10,3.0870150941e-10,184.725648031,-0.0165868485446,-2954.01466271,-4312.36770943,47.1111424063,184.725648031,9.23628240155,0,9.23628059013,-2.84628122942e-07,184.725648031,0.793526091911,0,-0.00121381159763,-0.00684786492256,-0.00431236770943,4.71111424063e-05
4.6e-05,3090.44154398,-0.0173407222691,4418.00120438,-51.6294162508,184.725648031,92.3628240155,184.725657267,3461.21502566,-9.7807101351e-10,3.08687067495e-10,184.725648031,-0.0173407222691,3090.44154398,4418.00120438,-51.6294162508,184.725648031,9.23628240155,0,9.23628059013,3.20980325823e-07,184.725648031,0.793895543207,0,-0.00173613216592,0.00679870753513,0.00441800120438,-5.16294162508e-05
4.8e-05,-3226.96254266,-0.0180945861356,-4518.52609952,56.3298348103,184.725648031,92.3628240155,184.725657267,-3614.11368431,-9.78076809577e-10,3.08672832209e-10,184.725648031,-0.0180945861356,-3226.96254266,-4518.52609952,56.3298348103,184.725648031,9.23628240155,0,9.23628059013,-2.96767686785e-07,184.725648031,0.794264994503,0,-0.00118628081608,-0.00684934245221,-0.00451852609952,5.63298348103e-05
5e-05,3363.37154519,-0.0188484397154,4614.18945468,-61.2349331955,184.725648031,92.3628240155,184.725657267,3766.89684298,-9.78064536177e-10,3.0865837133e-10,184.725648031,-0.0188484397154,3363.37154519,4614.18945468,-61.2349331955,184.725648031,9.23628240155,0,9.23628059013,3.36964877895e-07,184.725648031,0.794634445799,0,-0.00176494881464,0.00679578765204,0.00461418945468,-6.12349331955e-05
5.2e-05,-3499.88078831,-0.0196022825801,-4705.22638149,66.3172720828,184.725648031,92.3628240155,184.725657267,-3919.78192173,-9.78070714687e-10,3.08644155497e-10,184.725648031,-0.0196022825801,-3499.88078831,-4705.22638149,66.3172720828,184.725648031,9.23628240155,0,9.23628059013,-3.07499180924e-07,184.725648031,0.795003897095,0,-0.00115814858245,-0.00685074204346,-0.00470522638149,6.63172720828e-05
5.4e-05,3636.27025701,-0.0203561143011,4791.86062119,-71.6056162358,184.725648031,92.3628240155,184.725657267,4072.54361722,-9.78058076471e-10,3.08629674118e-10,184.725648031,-0.0203561143011,3636.27025701,4791.86062119,-71.6056162358,184.725648031,9.23628240155,0,9.23628059013,3.51797117772e-07,184.725648031,0.795373348391,0,-0.00179462072893,0.00679278028421,0.00479186062119,-7.16056162358e-05
5.6e-05,-3772.76606818,-0.02110993445,-4874.30509457,77.0660465718,184.725648031,92.3628240155,184.725657267,-4225.41323843,-9.78064601286e-10,3.08615479264e-10,184.725648031,-0.02110993445,-3772.76606818,-4874.30509457,77.0660465718,184.725648031,9.23628240155,0,9.23628059013,-3.1696826551e-07,184.725648031,0.795742799687,0,-0.00112943347338,-0.00685206141608,-0.00487430509457,7.70660465718e-05
